Код;Название;Цена;Мингод;Конкурс;Мин;МестОбщ;Бюдж;Целевик;Квота;Плат;Экз;Документы
150302;Технологические машины и оборудование;158 300,00 рублей;150;6,9;120;27;17;3;2;5;Математика, Физика/Информатика, Русский язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
350301;"Лесное дело. Профиль ""Рациональное многоцелевое использование лесов""";158 300,00 рублей;148;3,7;121;14;7;1;1;5;Математика, Химия/Биология/Информатика, Русский язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
350301;"Лесное дело. Профиль ""Правовые основы лесоуправления""";158 300,00 рублей;148;3,7;121;14;7;1;1;5;Математика, Химия/Биология/Информатика, Русский язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
350310;"Ландшафтная архитектура. Профиль ""Ландшафтное проектирование и дизайн""";158 300,00 рублей;147;4,6;120;22;13;2;2;5;Математика, Химия/Биология/Информатика, Русский язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
350306;"Агроинженерия. Профиль ""Эксплуатация и технический сервис транспортно-технологических машин""";158 300,00 рублей;141;4,3;124;25;13;5;2;5;Математика, Физика/Информатика, Русский язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
80301;Строительство(очно);158 300,00 рублей;155;3,6;120;95;72;9;9;5;Математика, Физика/Информатика, Русский язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
350302;"Технология лесозаготовительных и деревоперерабатывающих производств. Профиль ""Экономико-правовое обеспечение деятельности лесопромышленного предприятия""";158 300,00 рублей;133;3,3;118;15;8;1;1;5;Математика, Физика/Информатика, Русский язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
350302;"Технология лесозаготовительных и деревоперерабатывающих производств. Профиль""Производственно-технологический менеджмент на лесопромышленном предприятии""";153 700,00 рублей;133;3,3;118;15;8;1;1;5;Математика, Физика/Информатика, Русский язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
230303;Эксплуатация транспортно-технологических машин и комплексов;158 300,00 рублей;нет информации;нет информации;124;10;0;0;0;10;Математика, Физика/Информатика, Русский язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
50301;"Геология. Профиль ""Геология""";158 300,00 рублей;138;7,2;118;18;10;1;2;5;Математика, Физика/Информатика, Русский язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
10300;"Математика и механика. Многопрофильный конкурс: 01.03.01 Математика, Профиль ""Математика в образовании, фундаментальных и прикладных исследованиях"". 01.03.02 Прикладная математика и информатика. Профиль ""Прикладная математика и информационно-коммуникационные технологии""";138 100,00 рублей;148;3,6;118;85;59;8;8;10;Математика, Физика/Информатика, Русский язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
90302;Информационные системы и технологии. Профиль «Разработка информационных систем»;158 300,00 рублей;239;9,3;129;48;30;4;4;10;Математика, Информатика, Русский язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
90304;Программная инженерия. Профиль «Системное и прикладное программное обеспечение»;158 300,00 рублей;215;14,5;129;30;16;2;2;10;Математика, Информатика, Русский язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
440305;Педагогическое образование (с двумя профилями подготовки). Профиль «Образование в предметных областях (Математика и Информатика)»;138 100,00 рублей;201;5,9;124;20;10;3;2;5;Математика, Обществознание, Русский язык;"Документы для поступления

Приемная комиссия работает с понедельника по пятницу с 10 до 17 час. 
Тел. 8 (814-2) 71-10-30, priem@petrsu.ru 
Задать вопрос на ""горячую линию""

Способы подачи документов для поступления в ПетрГУ:

Сервис ""ЛИЧНЫЙ КАБИНЕТ АБИТУРИЕНТА ПетрГУ"".
1)Суперсервис ""ПОСТУПАЙ В ВУЗ ОНЛАЙН"" на портале ""Госуслуги"".
2)ПОЧТОВАЯ СВЯЗЬ общего пользования: отправить документы в приемную комиссию по 3)Почте России.
4)ПРИНЕСТИ ДОКУМЕНТЫ лично поступающим или доверенным лицом в приемную комиссию.

Прием в ПетрГУ проводится по заявлению с указанием не более трех направлений бакалавриата (специальностей).

В заявлении о приеме в университет поступающий указывает:
-)документ, удостоверяющий личность, гражданство (паспорт);
-)документ установленного (государственного) образца об образовании;
-)страховое свидетельство обязательного пенсионного страхования (при наличии);
-)копию медицинской справки ф. 086-у 
-)документы, подтверждающие особое право (результаты олимпиад школьников, обучение по дополнительным общеобразовательным программам по подготовке несовершеннолетних граждан к военной и иной государственной службе);
-)документы, подтверждающие инвалидность или ограниченные возможности здоровья (в случае необходимости создания специальных условий при сдаче вступительных испытаний в ПетрГУ);
-)документы, подтверждающие индивидуальные достижения;
-)договор об оказании платных образовательных услуг (если по направлению ведется только платное обучение, если абитуриент не является гражданином Российской Федерации (кроме лиц, имеющих право обучаться на бюджетном месте), если абитуриент уже имеет первое высшее образование)."
